comparison,metric,full_mean,other_mean,difference,ci_low,ci_high,test,p_raw,p_holm
A3_full_agent - B0_single_llm,json_parse,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - B0_single_llm,accepted,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - B0_single_llm,srs_form,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - B0_single_llm,traceability,1.0,0.8,0.2,0.06666666666666667,0.3333333333333333,exact McNemar,0.03125,0.125
A3_full_agent - B0_single_llm,full_compliance,1.0,0.8,0.2,0.06666666666666667,0.3333333333333333,exact McNemar,0.03125,0.125
A3_full_agent - B0_single_llm,topic_alignment_f1,0.6441269841269841,0.6363492063492063,0.007777777777777776,-0.06111111111111111,0.07777777777777775,Wilcoxon signed-rank,0.6485411609733592,1.0
A3_full_agent - B0_single_llm,lexical_grounding_proxy,0.09320256390496327,0.1074556271615095,-0.014253063256546229,-0.0356551508633552,0.007734226228421274,Wilcoxon signed-rank,0.19854279368666194,0.9927139684333097
A3_full_agent - B0_single_llm,latency_s,12.212212697365127,8.024689398599245,4.187523298765882,3.7848135730441816,4.63597478612343,Wilcoxon signed-rank,1.862645149230957e-09,9.313225746154785e-09
A3_full_agent - B0_single_llm,prompt_tokens,1007.6,438.1666666666667,569.4333333333333,544.195,593.2674999999999,Wilcoxon signed-rank,1.7322162331441138e-06,8.63386382806499e-06
A3_full_agent - B0_single_llm,completion_tokens,464.5,346.8,117.7,98.09583333333333,139.535,Wilcoxon signed-rank,1.7322162331441138e-06,8.650185646450624e-06
A3_full_agent - B1_single_llm_rag,json_parse,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - B1_single_llm_rag,accepted,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - B1_single_llm_rag,srs_form,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - B1_single_llm_rag,traceability,1.0,0.7666666666666667,0.23333333333333334,0.1,0.4,exact McNemar,0.015625,0.078125
A3_full_agent - B1_single_llm_rag,full_compliance,1.0,0.7666666666666667,0.23333333333333334,0.1,0.4,exact McNemar,0.015625,0.078125
A3_full_agent - B1_single_llm_rag,topic_alignment_f1,0.6441269841269841,0.6253968253968254,0.01873015873015873,-0.037003968253968254,0.07984523809523808,Wilcoxon signed-rank,0.6222452553388581,1.0
A3_full_agent - B1_single_llm_rag,lexical_grounding_proxy,0.09320256390496327,0.09393064043799337,-0.0007280765330300932,-0.020712717664101175,0.02030984293842265,Wilcoxon signed-rank,0.9678058265286753,1.0
A3_full_agent - B1_single_llm_rag,latency_s,12.212212697365127,8.284130144501493,3.9280825528636343,3.599369291459322,4.291407699659467,Wilcoxon signed-rank,1.862645149230957e-09,9.313225746154785e-09
A3_full_agent - B1_single_llm_rag,prompt_tokens,1007.6,681.7,325.9,306.19916666666666,345.13666666666666,Wilcoxon signed-rank,1.7333066441991056e-06,8.63386382806499e-06
A3_full_agent - B1_single_llm_rag,completion_tokens,464.5,364.23333333333335,100.26666666666667,83.66583333333334,118.7,Wilcoxon signed-rank,1.7300371292901247e-06,8.650185646450624e-06
A3_full_agent - A1_without_affect,json_parse,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A1_without_affect,accepted,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A1_without_affect,srs_form,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A1_without_affect,traceability,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A1_without_affect,full_compliance,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A1_without_affect,topic_alignment_f1,0.6441269841269841,0.6253968253968254,0.01873015873015873,-0.037003968253968254,0.07984523809523808,Wilcoxon signed-rank,0.6222452553388581,1.0
A3_full_agent - A1_without_affect,lexical_grounding_proxy,0.09320256390496327,0.09393064043799337,-0.0007280765330300932,-0.020712717664101175,0.02030984293842265,Wilcoxon signed-rank,0.9678058265286753,1.0
A3_full_agent - A1_without_affect,latency_s,12.212212697365127,8.284130144501493,3.9280825528636343,3.599369291459322,4.291407699659467,Wilcoxon signed-rank,1.862645149230957e-09,9.313225746154785e-09
A3_full_agent - A1_without_affect,prompt_tokens,1007.6,681.7,325.9,306.19916666666666,345.13666666666666,Wilcoxon signed-rank,1.7333066441991056e-06,8.63386382806499e-06
A3_full_agent - A1_without_affect,completion_tokens,464.5,364.23333333333335,100.26666666666667,83.66583333333334,118.7,Wilcoxon signed-rank,1.7300371292901247e-06,8.650185646450624e-06
A3_full_agent - A2_without_validator,json_parse,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A2_without_validator,accepted,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A2_without_validator,srs_form,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A2_without_validator,traceability,1.0,0.8333333333333334,0.16666666666666666,0.03333333333333333,0.3,exact McNemar,0.0625,0.1875
A3_full_agent - A2_without_validator,full_compliance,1.0,0.8333333333333334,0.16666666666666666,0.03333333333333333,0.3,exact McNemar,0.0625,0.1875
A3_full_agent - A2_without_validator,topic_alignment_f1,0.6441269841269841,0.6441269841269841,0.0,0.0,0.0,Wilcoxon signed-rank,1.0,1.0
A3_full_agent - A2_without_validator,lexical_grounding_proxy,0.09320256390496327,0.09320256390496327,0.0,0.0,0.0,Wilcoxon signed-rank,1.0,1.0
A3_full_agent - A2_without_validator,latency_s,12.212212697365127,12.212212697365127,0.0,0.0,0.0,Wilcoxon signed-rank,1.0,1.0
A3_full_agent - A2_without_validator,prompt_tokens,1007.6,1007.6,0.0,0.0,0.0,Wilcoxon signed-rank,1.0,1.0
A3_full_agent - A2_without_validator,completion_tokens,464.5,464.5,0.0,0.0,0.0,Wilcoxon signed-rank,1.0,1.0
A3_full_agent - A4_without_need_rag,json_parse,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A4_without_need_rag,accepted,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A4_without_need_rag,srs_form,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A4_without_need_rag,traceability,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A4_without_need_rag,full_compliance,1.0,1.0,0.0,0.0,0.0,exact McNemar,1.0,1.0
A3_full_agent - A4_without_need_rag,topic_alignment_f1,0.6441269841269841,0.6055555555555556,0.03857142857142858,-0.034452380952380963,0.10952777777777777,Wilcoxon signed-rank,0.2882430677682075,1.0
A3_full_agent - A4_without_need_rag,lexical_grounding_proxy,0.09320256390496327,0.10198193418781655,-0.008779370282853253,-0.026654237594978692,0.011113683064727936,Wilcoxon signed-rank,0.33947890807294845,1.0
A3_full_agent - A4_without_need_rag,latency_s,12.212212697365127,12.228513377825342,-0.016300680460214306,-0.39548899721208725,0.33590871946301665,Wilcoxon signed-rank,0.8235769439488649,1.0
A3_full_agent - A4_without_need_rag,prompt_tokens,1007.6,764.0666666666667,243.53333333333333,235.2,250.4675,Wilcoxon signed-rank,1.726772765612998e-06,8.63386382806499e-06
A3_full_agent - A4_without_need_rag,completion_tokens,464.5,462.46666666666664,2.033333333333333,-16.735833333333336,19.669166666666655,Wilcoxon signed-rank,0.6214957900514648,1.0
