participant_id,"1. Are you at least 18 years old, have read the instructions, and voluntarily participate in this survey?",2. What is your age range?,3. How familiar are you with generative AI tools such as ChatGPT?,"4. Do you have experience in software requirements analysis, product design, or software engineering?",5. Case 1,"6. (Case 1) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","7. (Case 1) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","8. (Case 1) Which output better conforms to clear, specific, and verifiable software requirement expressions?",9. Case 2,"10. (Case 2) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","11. (Case 2) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","12. (Case 2) Which output better conforms to clear, specific, and verifiable software requirement expressions?",13. Case 3,"14. (Case 3) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","15. (Case 3) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","16. (Case 3) Which output better conforms to clear, specific, and verifiable software requirement expressions?","17. Considering all three cases, which output overall more stably transforms user conversations into traceable software requirements?","18. If you were a software requirements analyst, which output would you prefer to use as the basis for subsequent requirements review?",Language
P001,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,C. Both are similar,C. Both are similar,B. Output B,,B. Output B,A. Output A,C. Both are similar,,A. Output A,B. Output B,B. Output B,C. Both are similar,C. No obvious preference,Simplified Chinese
P002,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,,B. Output B,B. Output B,B. Output B,,A. Output A,A. Output A,B. Output B,B. Output B,B. Output B,Simplified Chinese
P003,B. No (Please select to end the questionnaire),A. 18–24 years old,A. Completely unfamiliar,A. None,,B. Output B,B. Output B,A. Output A,,A. Output A,A. Output A,B. Output B,,A. Output A,B. Output B,A. Output A,C. Both are similar,C. No obvious preference,Simplified Chinese
P004,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,,A. Output A,A. Output A,B. Output B,,A. Output A,B. Output B,C. Both are similar,C. Both are similar,D. Unwilling to use either,Simplified Chinese
P005,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,B. Output B,B. Output B,B. Output B,,A. Output A,A. Output A,A. Output A,A. Output A,A. Output A,Simplified Chinese
P006,B. No (Please select to end the questionnaire),F. Prefer not to disclose,B. Slightly familiar,B. Only course learning experience,,B. Output B,B. Output B,B. Output B,,B. Output B,B. Output B,B. Output B,,A. Output A,A. Output A,A. Output A,B. Output B,B. Output B,Simplified Chinese
P007,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,B. Output B,C. Both are similar,B. Output B,,A. Output A,A. Output A,B. Output B,A. Output A,B. Output B,Simplified Chinese
P008,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,B. Output B,A. Output A,B. Output B,,B. Output B,C. Both are similar,A. Output A,,B. Output B,A. Output A,B. Output B,B. Output B,B. Output B,Simplified Chinese
P009,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,A. Output A,A. Output A,B. Output B,,A. Output A,B. Output B,B. Output B,,A. Output A,A. Output A,B. Output B,A. Output A,A. Output A,Simplified Chinese
P010,A. Yes,A. 18–24 years old,A. Completely unfamiliar,A. None,,A. Output A,B. Output B,A. Output A,A. No response required,A. Output A,B. Output B,B. Output B,,A. Output A,A. Output A,B. Output B,A. Output A,A. Output A,Simplified Chinese
