ID,Start Time,End Time,Duration,"1. Are you at least 18 years old, have read the instructions, and voluntarily participate in this survey?",2. What is your age range?,3. How familiar are you with generative AI tools such as ChatGPT?,"4. Do you have experience in software requirements analysis, product design, or software engineering?",5. Case 1,"6. (Case 1) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","7. (Case 1) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","8. (Case 1) Which output better conforms to clear, specific, and verifiable software requirement expressions?",9. Case 2,"10. (Case 2) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","11. (Case 2) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","12. (Case 2) Which output better conforms to clear, specific, and verifiable software requirement expressions?","12. (Case 2) Which output better conforms to clear, specific, and verifiable software requirement expressions? [Option Fill-in]",13. Case 3,"14. (Case 3) Which output more accurately identifies the user's emotions, explicit needs, or implicit needs?","15. (Case 3) In which output can the ""evidence snippets"" be more directly traced back to the original user conversation?","16. (Case 3) Which output better conforms to clear, specific, and verifiable software requirement expressions?","17. Considering all three cases, which output overall more stably transforms user conversations into traceable software requirements?","18. If you were a software requirements analyst, which output would you prefer to use as the basis for subsequent requirements review?",Language,Data Cleaning Status,AI Cleaning Invalidity Probability,Geographic Location: Country/Region,Geographic Location: Province,Geographic Location: City,Custom Field,IP,UA,Referrer,
43,05-Jul-2026 21:16:36,05-Jul-2026 21:17:25,49,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,C. Both are similar,C. Both are similar,B. Output B,,B. Output B,A. Output A,C. Both are similar,,,A. Output A,B. Output B,B. Output B,C. Both are similar,C. No obvious preference,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240************************************,"Mozilla/5.0 (Linux; Android 15; PHW110 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.135 Mobile Safari/537.36 cpdaily/9.8.4 wisedu/9.8.4",,
42,01-Jul-2026 11:57:55,01-Jul-2026 12:01:37,222,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,,B. Output B,B. Output B,B. Output B,,,A. Output A,A. Output A,B. Output B,B. Output B,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240**********************************,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 cpdaily/9.9.18 wisedu/9.9.18",,
41,29-Jun-2026 16:25:52,29-Jun-2026 16:28:22,150,B. No (Please select to end the questionnaire),A. 18–24 years old,A. Completely unfamiliar,A. None,,B. Output B,B. Output B,A. Output A,,A. Output A,A. Output A,B. Output B,,,A. Output A,B. Output B,A. Output A,C. Both are similar,C. No obvious preference,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,,,203***********,"Mozilla/5.0 (Linux; Android 10; TYH612M Build/TianyiTYH612M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/92.0.4515.105 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
40,28-Jun-2026 21:24:47,28-Jun-2026 21:25:34,47,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,B. Output B,B. Output B,,A. Output A,A. Output A,B. Output B,,,A. Output A,B. Output B,C. Both are similar,C. Both are similar,D. Unwilling to use either,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240************************************,"Mozilla/5.0 (Linux; Android 14; CRT-AN00 Build/HONORCRT-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/99.0.4844.88 Mobile Safari/537.36 cpdaily/9.9.16 wisedu/9.9.16",,
39,28-Jun-2026 20:05:36,28-Jun-2026 20:07:35,119,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,B. Output B,B. Output B,B. Output B,,,A. Output A,A. Output A,A. Output A,A. Output A,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,,,103************,"Mozilla/5.0 (Linux; Android 12; GFY-AL00 Build/HUAWEIGFY-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.5735.196 Mobile Safari/537.36 cpdaily/9.9.18 wisedu/9.9.18",,
38,28-Jun-2026 19:45:32,28-Jun-2026 19:48:56,204,B. No (Please select to end the questionnaire),F. Prefer not to disclose,B. Slightly familiar,B. Only course learning experience,,B. Output B,B. Output B,B. Output B,,B. Output B,B. Output B,B. Output B,,,A. Output A,A. Output A,A. Output A,B. Output B,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240************************************,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 cpdaily/9.9.18 wisedu/9.9.18",,
37,28-Jun-2026 19:44:55,28-Jun-2026 19:48:50,235,A. Yes,A. 18–24 years old,B. Slightly familiar,B. Only course learning experience,,A. Output A,A. Output A,A. Output A,,B. Output B,C. Both are similar,B. Output B,,,A. Output A,A. Output A,B. Output B,A. Output A,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240************************************,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 cpdaily/9.9.12 wisedu/9.9.12",,
36,28-Jun-2026 19:13:15,28-Jun-2026 19:37:35,1460,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,B. Output B,A. Output A,B. Output B,,B. Output B,C. Both are similar,A. Output A,,,B. Output B,A. Output A,B. Output B,B. Output B,B. Output B,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Guyuan City,,240***********************************,"Mozilla/5.0 (Linux; Android 14; ALT-AN00 Build/HONORALT-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.0.0 Mobile Safari/537.36 cpdaily/9.9.11 wisedu/9.9.11",,
35,28-Jun-2026 19:15:30,28-Jun-2026 19:22:32,422,A. Yes,A. 18–24 years old,C. Average,B. Only course learning experience,,A. Output A,A. Output A,B. Output B,,A. Output A,B. Output B,B. Output B,,,A. Output A,A. Output A,B. Output B,A. Output A,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Shizuishan City,,240************************************,"Mozilla/5.0 (Linux; Android 16; MTN-AN80 Build/HONORMTN-AN80; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.13 wisedu/9.9.13",,
34,28-Jun-2026 19:18:23,28-Jun-2026 19:18:58,35,A. Yes,A. 18–24 years old,A. Completely unfamiliar,A. None,,A. Output A,B. Output B,A. Output A,A. No response required,A. Output A,B. Output B,B. Output B,,,A. Output A,A. Output A,B. Output B,A. Output A,A. Output A,Simplified Chinese,Uncleaned,,China,Ningxia Hui Autonomous Region,Wuzhong City,,240***********************************,"Mozilla/5.0 (Linux; Android 16; PLU110 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/138.0.7204.179 Mobile Safari/537.36 cpdaily/9.9.16 wisedu/9.9.16",,
